name,files,tags,Slang,tree_sitter_verilog,Verilator,Yosys,Odin,sv_parser,Icarus,Sv2v_zachjs
utd-sv_ff_jbi_sc1_1,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ff_jbi_sc1_1.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_sctag_slow_rptr,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_slow_rptr.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_pcx_dp_array02,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/pcx_dp_array02.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_cpx_dp_halfarray,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/cpx_dp_halfarray.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_sc_2_3_dbg_rptr,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sc_2_3_dbg_rptr.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_primitives,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/primitives.v,utd-sv,False,False,False,False,False,True,False,False
utd-sv_flop_rptrs_xc3,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/flop_rptrs_xc3.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_sctag_tagdp,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_tagdp.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_cpx,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/cpx.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_flop_rptrs_xa0,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/flop_rptrs_xa0.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_sparc_ifu_thrcmpl,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sparc_ifu_thrcmpl.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_sctag_dirg_buf,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_dirg_buf.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_flop_rptrs_xb2,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/flop_rptrs_xb2.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_chip8_config,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/chip8_config.v,utd-sv,True,True,False,True,False,True,False,True
utd-sv_ctu_mask_id,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ctu_mask_id.v,utd-sv,False,True,True,True,True,True,False,True
utd-sv_pcx_buf_pdr,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/pcx_buf_pdr.v,utd-sv,True,True,False,True,True,False,False,False
utd-sv_ff_jbi_sc0_2,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ff_jbi_sc0_2.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_ff_jbi_sc2_2,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ff_jbi_sc2_2.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_ff_jbi_sc0_1,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ff_jbi_sc0_1.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_sctag_cpx_rptr_1,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_cpx_rptr_1.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_i2c_fdp,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/i2c_fdp.v,utd-sv,False,True,False,True,False,False,False,False
